Aaron Finch,20,20,0,602.0,436,30.1,5,0,138.07339449541286,77,0,0,0,0.0,
Tom Curran,19,6,4,54.0,34,27.0,0,0,158.8235294117647,18,426,607,15,8.549295774647888,
Sam Curran,14,11,8,154.0,106,51.333333333333336,1,0,145.2830188679245,52,270,365,9,8.11111111111111,
Marcus Stoinis,19,19,5,543.0,403,38.785714285714285,1,0,134.7394540942928,70,324,465,15,8.61111111111111,
Sam Billings,20,19,1,373.0,262,20.72222222222222,2,0,142.36641221374046,70,0,0,0,0.0,
Rory Burns,20,19,7,440.0,314,36.666666666666664,2,0,140.12738853503183,53,0,0,0,0.0,
Phil Salt,20,20,2,571.0,410,31.72222222222222,3,1,139.2682926829268,100,0,0,0,0.0,
Adam Zampa,20,3,1,4.0,7,2.0,0,0,57.14285714285714,2,441,655,22,8.91156462585034,
Ravindra Jadeja,20,15,3,141.0,97,11.75,0,0,145.36082474226802,38,408,537,20,7.897058823529411,
Tymal Mills,19,1,1,9.0,10,9.0,0,0,90.0,9,402,597,10,8.91044776119403,
Ben Foakes,19,15,8,321.0,221,45.857142857142854,1,0,145.24886877828052,56,0,0,0,0.0,
Will Jacks,3,2,0,9.0,8,4.5,0,0,112.5,7,12,17,0,8.5,
Harry Brook,4,1,0,6.0,7,6.0,0,0,85.71428571428571,6,30,35,0,7.0,
Ian Cockbain,1,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,
Jacob Lintott,1,1,1,5.0,5,5.0,0,0,100.0,5,18,43,0,14.333333333333332,
Jordan Cox,1,1,0,34.0,26,34.0,0,0,130.76923076923077,34,0,0,0,0.0,
Liam Livingstone,20,20,7,857.0,632,65.92307692307692,9,0,135.6012658227848,95,240,399,10,9.975000000000001,
Steven Croft,19,1,0,43.0,23,43.0,0,0,186.95652173913044,43,156,229,7,8.807692307692307,
Ross Taylor,20,10,5,308.0,182,61.6,3,0,169.23076923076923,69,0,0,0,0.0,
Olly Stone,19,1,1,23.0,10,23.0,0,0,229.99999999999997,23,404,536,12,7.96039603960396,
Glenn Phillips,20,17,8,409.0,281,45.44444444444444,2,0,145.55160142348754,59,0,0,0,0.0,
Luis Reece,20,8,5,118.0,59,39.333333333333336,0,0,200.0,47,312,452,12,8.692307692307692,
Ed Barnard,2,1,1,5.0,3,5.0,0,0,166.66666666666669,5,30,56,0,11.2,
Matt Critchley,20,5,3,27.0,22,13.5,0,0,122.72727272727273,12,317,485,21,9.17981072555205,
Kagiso Rabada,20,1,0,1.0,2,1.0,0,0,50.0,1,462,616,19,8.0,
Faf du Plessis,20,19,5,728.0,484,52.0,7,0,150.4132231404959,84,0,0,0,0.0,
Oscar Magee,20,20,4,836.0,574,52.25,4,2,145.6445993031359,106,0,0,0,0.0,
Reece Topley,20,1,1,0.0,0,0.0,0,0,0.0,0,450,592,19,7.8933333333333335,
Dan Christian,19,4,2,57.0,38,28.5,0,0,150.0,19,315,514,20,9.790476190476191,
Mitch Marsh,19,18,4,528.0,403,37.714285714285715,4,0,131.01736972704714,73,338,533,9,9.461538461538462,
Alex Hales,19,19,3,618.0,472,38.625,5,0,130.9322033898305,93,0,0,0,0.0,
Dan Lawrence,19,11,6,197.0,119,39.4,1,0,165.54621848739495,50,184,290,6,9.456521739130434,
Ben Duckett,19,19,4,758.0,511,50.53333333333333,4,2,148.33659491193737,114,0,0,0,0.0,
Tom Westley,17,5,1,40.0,33,10.0,0,0,121.21212121212122,22,0,0,0,0.0,
Ben Coad,19,2,2,6.0,5,6.0,0,0,120.0,5,420,600,10,8.571428571428571,
Benny Howell,19,4,2,22.0,16,11.0,0,0,137.5,14,424,631,10,8.929245283018869,
Nicholas Pooran,19,14,4,421.0,268,42.1,2,0,157.08955223880596,58,0,0,0,0.0,
Rishabh Pant,19,17,7,512.0,336,51.2,3,0,152.38095238095238,87,0,0,0,0.0,
Matt Milnes,3,0,0,0.0,0,0.0,0,0,0.0,0,66,117,2,10.636363636363637,
Hugo Friedrichs,18,2,0,4.0,7,2.0,0,0,57.14285714285714,2,409,523,18,7.67237163814181
